path,sha256,bytes,kind,change_status,baseline_sha256,purpose,has_direct_entry,default_entry_reachability,reachability_basis,upstream,downstream,literal_file_references,check_depth,substantive_review_scope,associated_tests_static,executed_test_evidence,inherited_review_source,inherited_review_scope,status,limitations
.gitattributes,bb77907b53412c2414f934a3ec582feec0d837850d89ae0fc33a8f48aa599a46,86,other_entry_or_runtime_dependency,UNCHANGED,bb77907b53412c2414f934a3ec582feec0d837850d89ae0fc33a8f48aa599a46,Publicly shipped file; exact byte identity inventoried.,False,[],Static AST imports only; module reachability is not function execution evidence.,[],[],[],FILE_IDENTITY_AND_REFERENCE_INVENTORY,[],[],[],,Prior accepted public code identity when the public parent hash is shown; internal acceptance provenance is withheld.,NOT_ON_STATIC_DEFAULT_IMPORT_PATH_RETAINED_HISTORICAL_SURFACE,"Only public dependency edges are displayed. Private paths, hashes, review annotations and internal evidence identities are withheld; aggregate executed checks appear separately."
.github/workflows/stage1c-release.yml,59ae2c4dbad9c52468d3c6cc40e8927a0d8f7acf17720bb17c03d5814a05ed7f,1476,workflow,MODIFIED,d43e208ced63e578345ed0cef30752db08aa5aeb9ddad4fdbf69a5a46b3a2ac8,Publicly shipped file; exact byte identity inventoried.,False,[],Static AST imports only; module reachability is not function execution evidence.,[],[],"[""tools/stage1c_release.py""]",TARGETED_SUBSTANTIVE_REVIEW,"[""Current exact-byte scoped substantive review documented; complete private review notes are withheld. This does not mean every function was newly audited.""]",[],[],,Prior accepted public code identity when the public parent hash is shown; internal acceptance provenance is withheld.,CURRENT_SCOPED_REVIEW_DOCUMENTED,"Only public dependency edges are displayed. Private paths, hashes, review annotations and internal evidence identities are withheld; aggregate executed checks appear separately."
.gitignore,97573e69dc2165d8a07acb239fcba6e399723793c3bcb2e5a092e805c2b74022,49,other_entry_or_runtime_dependency,UNCHANGED,97573e69dc2165d8a07acb239fcba6e399723793c3bcb2e5a092e805c2b74022,Publicly shipped file; exact byte identity inventoried.,False,[],Static AST imports only; module reachability is not function execution evidence.,[],[],[],FILE_IDENTITY_AND_REFERENCE_INVENTORY,[],[],[],,Prior accepted public code identity when the public parent hash is shown; internal acceptance provenance is withheld.,NOT_ON_STATIC_DEFAULT_IMPORT_PATH_RETAINED_HISTORICAL_SURFACE,"Only public dependency edges are displayed. Private paths, hashes, review annotations and internal evidence identities are withheld; aggregate executed checks appear separately."
configs/DUNE_ADAPTER_SCHEMA.md,22e42bdfa67f4f2e13b826b94c9b8b7758d13535c57f3ef6eb7e6b1ff740ce69,3833,configuration_or_method_rule,UNCHANGED,22e42bdfa67f4f2e13b826b94c9b8b7758d13535c57f3ef6eb7e6b1ff740ce69,Publicly shipped file; exact byte identity inventoried.,False,[],Static AST imports only; module reachability is not function execution evidence.,[],[],"[""src/provider_dune.py""]",FILE_IDENTITY_AND_REFERENCE_INVENTORY,[],[],[],,Prior accepted public code identity when the public parent hash is shown; internal acceptance provenance is withheld.,NOT_ON_STATIC_DEFAULT_IMPORT_PATH_RETAINED_HISTORICAL_SURFACE,"Only public dependency edges are displayed. Private paths, hashes, review annotations and internal evidence identities are withheld; aggregate executed checks appear separately."
configs/PROVIDER_REPAIR_NOTES.md,34e8771eab73130943f6b4a2294348ca51e61fe44eff031b9e4c18ccdd3af078,3051,configuration_or_method_rule,UNCHANGED,34e8771eab73130943f6b4a2294348ca51e61fe44eff031b9e4c18ccdd3af078,Publicly shipped file; exact byte identity inventoried.,False,[],Static AST imports only; module reachability is not function execution evidence.,[],[],"[""src/dune_live.py"",""src/page_attempts.py"",""src/page_contract.py"",""tests/test_dune_live.py"",""tests/test_page_recovery.py""]",FILE_IDENTITY_AND_REFERENCE_INVENTORY,[],[],[],,Prior accepted public code identity when the public parent hash is shown; internal acceptance provenance is withheld.,NOT_ON_STATIC_DEFAULT_IMPORT_PATH_RETAINED_HISTORICAL_SURFACE,"Only public dependency edges are displayed. Private paths, hashes, review annotations and internal evidence identities are withheld; aggregate executed checks appear separately."
configs/PUBLIC_VALIDATION_R3.json,601128e8b58933e690bdfffc23677079a667fa70c2a5162858a28deedcbd2dc0,58,configuration_or_method_rule,UNCHANGED,601128e8b58933e690bdfffc23677079a667fa70c2a5162858a28deedcbd2dc0,Publicly shipped file; exact byte identity inventoried.,False,[],Static AST imports only; module reachability is not function execution evidence.,[],[],[],FILE_IDENTITY_AND_REFERENCE_INVENTORY,[],[],[],,Prior accepted public code identity when the public parent hash is shown; internal acceptance provenance is withheld.,NOT_ON_STATIC_DEFAULT_IMPORT_PATH_RETAINED_HISTORICAL_SURFACE,"Only public dependency edges are displayed. Private paths, hashes, review annotations and internal evidence identities are withheld; aggregate executed checks appear separately."
configs/PUBLIC_VALIDATION_R4.json,07e106a9e8716c5e2e59383e3965420b220fd079c40616ecf59a0391a1159faa,61,configuration_or_method_rule,UNCHANGED,07e106a9e8716c5e2e59383e3965420b220fd079c40616ecf59a0391a1159faa,Publicly shipped file; exact byte identity inventoried.,False,[],Static AST imports only; module reachability is not function execution evidence.,[],[],[],FILE_IDENTITY_AND_REFERENCE_INVENTORY,[],[],[],,Prior accepted public code identity when the public parent hash is shown; internal acceptance provenance is withheld.,NOT_ON_STATIC_DEFAULT_IMPORT_PATH_RETAINED_HISTORICAL_SURFACE,"Only public dependency edges are displayed. Private paths, hashes, review annotations and internal evidence identities are withheld; aggregate executed checks appear separately."
configs/PUBLIC_VALIDATION_R4_R1.json,2fd1cadde09761719d7bccf8138f02f8a128ec90eceba3b5ed20472491fb43fa,64,configuration_or_method_rule,UNCHANGED,2fd1cadde09761719d7bccf8138f02f8a128ec90eceba3b5ed20472491fb43fa,Publicly shipped file; exact byte identity inventoried.,False,[],Static AST imports only; module reachability is not function execution evidence.,[],[],[],FILE_IDENTITY_AND_REFERENCE_INVENTORY,[],[],[],,Prior accepted public code identity when the public parent hash is shown; internal acceptance provenance is withheld.,NOT_ON_STATIC_DEFAULT_IMPORT_PATH_RETAINED_HISTORICAL_SURFACE,"Only public dependency edges are displayed. Private paths, hashes, review annotations and internal evidence identities are withheld; aggregate executed checks appear separately."
configs/requirements_lp.txt,1852ec01a2067cbcbfc45c11de16d37e7fd6e3e3b6cbadda086a575cf05a2f99,105,configuration_or_method_rule,UNCHANGED,1852ec01a2067cbcbfc45c11de16d37e7fd6e3e3b6cbadda086a575cf05a2f99,Publicly shipped file; exact byte identity inventoried.,False,[],Static AST imports only; module reachability is not function execution evidence.,[],[],[],FILE_IDENTITY_AND_REFERENCE_INVENTORY,[],[],[],,Prior accepted public code identity when the public parent hash is shown; internal acceptance provenance is withheld.,NOT_ON_STATIC_DEFAULT_IMPORT_PATH_RETAINED_HISTORICAL_SURFACE,"Only public dependency edges are displayed. Private paths, hashes, review annotations and internal evidence identities are withheld; aggregate executed checks appear separately."
configs/STAGE1B_R3_PUBLIC_POLICY.json,9424d774fa5e3076e49212a1db157f7b4143589bf728c4417d3d8570b8685821,1093,configuration_or_method_rule,UNCHANGED,9424d774fa5e3076e49212a1db157f7b4143589bf728c4417d3d8570b8685821,Publicly shipped file; exact byte identity inventoried.,False,[],Static AST imports only; module reachability is not function execution evidence.,[],[],[],FILE_IDENTITY_AND_REFERENCE_INVENTORY,[],[],[],,Prior accepted public code identity when the public parent hash is shown; internal acceptance provenance is withheld.,NOT_ON_STATIC_DEFAULT_IMPORT_PATH_RETAINED_HISTORICAL_SURFACE,"Only public dependency edges are displayed. Private paths, hashes, review annotations and internal evidence identities are withheld; aggregate executed checks appear separately."
