sample_id,kind,family,method,status,applicability,output_kind,reason
controlled-v1/normal_mixing/00,controlled,normal_mixing,BALANCE_INFORMATION_REMOVED,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/00,controlled,normal_mixing,FULL_INTERVAL,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/00,controlled,normal_mixing,BOUNDED_REACHABILITY,COMPLETED,APPLICABLE,ADDRESS_EVENT_SET_NO_AMOUNT,
controlled-v1/normal_mixing/00,controlled,normal_mixing,POISON,COMPLETED,APPLICABLE,POISON_NOMINAL_RAW,
controlled-v1/normal_mixing/00,controlled,normal_mixing,HAIRCUT,COMPLETED,APPLICABLE,PROPORTIONAL_FEASIBLE_POINT,
controlled-v1/normal_mixing/00,controlled,normal_mixing,NO_CROSS_TARGET_COUPLING,COMPLETED,SUPPORTED,product_of_target_specific_copies,
controlled-v1/normal_mixing/00,controlled,normal_mixing,NO_PROTOCOL_CONTINUATION,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/01,controlled,normal_mixing,BALANCE_INFORMATION_REMOVED,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/01,controlled,normal_mixing,FULL_INTERVAL,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/01,controlled,normal_mixing,BOUNDED_REACHABILITY,COMPLETED,APPLICABLE,ADDRESS_EVENT_SET_NO_AMOUNT,
controlled-v1/normal_mixing/01,controlled,normal_mixing,POISON,COMPLETED,APPLICABLE,POISON_NOMINAL_RAW,
controlled-v1/normal_mixing/01,controlled,normal_mixing,HAIRCUT,COMPLETED,APPLICABLE,PROPORTIONAL_FEASIBLE_POINT,
controlled-v1/normal_mixing/01,controlled,normal_mixing,NO_CROSS_TARGET_COUPLING,COMPLETED,SUPPORTED,product_of_target_specific_copies,
controlled-v1/normal_mixing/01,controlled,normal_mixing,NO_PROTOCOL_CONTINUATION,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/02,controlled,normal_mixing,FULL_INTERVAL,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/02,controlled,normal_mixing,BOUNDED_REACHABILITY,COMPLETED,APPLICABLE,ADDRESS_EVENT_SET_NO_AMOUNT,
controlled-v1/normal_mixing/02,controlled,normal_mixing,POISON,COMPLETED,APPLICABLE,POISON_NOMINAL_RAW,
controlled-v1/normal_mixing/02,controlled,normal_mixing,HAIRCUT,COMPLETED,APPLICABLE,PROPORTIONAL_FEASIBLE_POINT,
controlled-v1/normal_mixing/02,controlled,normal_mixing,NO_CROSS_TARGET_COUPLING,COMPLETED,SUPPORTED,product_of_target_specific_copies,
controlled-v1/normal_mixing/02,controlled,normal_mixing,NO_PROTOCOL_CONTINUATION,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/02,controlled,normal_mixing,BALANCE_INFORMATION_REMOVED,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/03,controlled,normal_mixing,BALANCE_INFORMATION_REMOVED,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/03,controlled,normal_mixing,FULL_INTERVAL,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/03,controlled,normal_mixing,BOUNDED_REACHABILITY,COMPLETED,APPLICABLE,ADDRESS_EVENT_SET_NO_AMOUNT,
controlled-v1/normal_mixing/03,controlled,normal_mixing,POISON,COMPLETED,APPLICABLE,POISON_NOMINAL_RAW,
controlled-v1/normal_mixing/03,controlled,normal_mixing,HAIRCUT,COMPLETED,APPLICABLE,PROPORTIONAL_FEASIBLE_POINT,
controlled-v1/normal_mixing/03,controlled,normal_mixing,NO_CROSS_TARGET_COUPLING,COMPLETED,SUPPORTED,product_of_target_specific_copies,
controlled-v1/normal_mixing/03,controlled,normal_mixing,NO_PROTOCOL_CONTINUATION,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/04,controlled,normal_mixing,POISON,COMPLETED,APPLICABLE,POISON_NOMINAL_RAW,
controlled-v1/normal_mixing/04,controlled,normal_mixing,HAIRCUT,COMPLETED,APPLICABLE,PROPORTIONAL_FEASIBLE_POINT,
controlled-v1/normal_mixing/04,controlled,normal_mixing,NO_CROSS_TARGET_COUPLING,COMPLETED,SUPPORTED,product_of_target_specific_copies,
controlled-v1/normal_mixing/04,controlled,normal_mixing,NO_PROTOCOL_CONTINUATION,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/04,controlled,normal_mixing,BALANCE_INFORMATION_REMOVED,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/04,controlled,normal_mixing,FULL_INTERVAL,COMPLETED,SUPPORTED,feasible_interval,
controlled-v1/normal_mixing/04,controlled,normal_mixing,BOUNDED_REACHABILITY,COMPLETED,APPLICABLE,ADDRESS_EVENT_SET_NO_AMOUNT,
