sample_id,query_id,incident_id,kind,source_layer,zero_hop,method,category,target,status,output_kind,lower_raw,upper_raw,point_raw,POISON_NOMINAL_RAW,physical_capacity_raw,asset,evidence_ids,unit,input_fact_hash,certification
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,BALANCE_INFORMATION_REMOVED,addresses,T|ETH,COMPLETED,feasible_interval,0,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,BALANCE_INFORMATION_REMOVED,events,enter,COMPLETED,feasible_interval,0,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,BALANCE_INFORMATION_REMOVED,joint_by_asset,ETH,COMPLETED,feasible_interval,0,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,FULL_INTERVAL,addresses,T|ETH,COMPLETED,feasible_interval,1,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,FULL_INTERVAL,events,enter,COMPLETED,feasible_interval,1,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,FULL_INTERVAL,joint_by_asset,ETH,COMPLETED,feasible_interval,1,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,BOUNDED_REACHABILITY,addresses,T|ETH,COMPLETED,ADDRESS_EVENT_SET_NO_AMOUNT,,,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,BOUNDED_REACHABILITY,events,seed,COMPLETED,ADDRESS_EVENT_SET_NO_AMOUNT,,,,,2,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,BOUNDED_REACHABILITY,events,enter,COMPLETED,ADDRESS_EVENT_SET_NO_AMOUNT,,,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,BOUNDED_REACHABILITY,joint_by_asset,ETH,COMPLETED,ADDRESS_EVENT_SET_NO_AMOUNT,,,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
