record_type,sample_id,kind,method,artifact,passed,path,differences_count,kind_of_difference,baseline,revision
METHOD_PAIR,atomic_simple_transfer,real,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,atomic_simple_transfer,real,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,atomic_simple_transfer,real,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,atomic_simple_transfer,real,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,atomic_simple_transfer,real,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,atomic_simple_transfer,real,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,atomic_simple_transfer,real,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/00,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/00,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/00,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/00,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/00,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/00,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/00,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/01,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/01,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/01,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/01,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/01,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/01,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/01,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/02,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/02,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/02,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/02,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/02,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/02,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/canonical_weth_1to1/02,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
