sample_id,method,median_seconds,min_seconds,max_seconds,common_preprocess_median_seconds,fixed_graph_end_to_end_median_seconds,warmup_python_peak_bytes,endpoint_optimizations
controlled-v1/normal_mixing/00,BALANCE_INFORMATION_REMOVED,0.003989100005128421,0.003616899994085543,0.0048319000052288175,9.099996532313526e-06,0.003998200001660734,23163717,2
controlled-v1/normal_mixing/00,FULL_INTERVAL,0.003345899996929802,0.0030115999979898334,0.0042706999956863,9.099996532313526e-06,0.0033549999934621155,24217,2
controlled-v1/normal_mixing/00,BOUNDED_REACHABILITY,7.510000432375818e-05,7.000000914558768e-05,9.290000889450312e-05,9.099996532313526e-06,8.420000085607171e-05,6369,0
controlled-v1/normal_mixing/00,POISON,9.729999874252826e-05,8.05000017862767e-05,0.00018659999477677047,9.099996532313526e-06,0.00010639999527484179,6537,0
controlled-v1/normal_mixing/00,HAIRCUT,0.0001306999911321327,0.000115999995614402,0.00017769999976735562,9.099996532313526e-06,0.00013979998766444623,11393,0
controlled-v1/normal_mixing/00,NO_CROSS_TARGET_COUPLING,0.0036371999885886908,0.003009599997312762,0.00421440000354778,9.099996532313526e-06,0.0036462999851210043,29337,2
controlled-v1/normal_mixing/00,NO_PROTOCOL_CONTINUATION,0.0033841999975265935,0.003011799999512732,0.004041399995912798,9.099996532313526e-06,0.003393299994058907,24302,2
controlled-v1/normal_mixing/01,BALANCE_INFORMATION_REMOVED,0.0032066999992821366,0.0031389000068884343,0.003966999996919185,9.399998816661537e-06,0.003216099998098798,24070,2
controlled-v1/normal_mixing/01,FULL_INTERVAL,0.0032338000019080937,0.00284990000363905,0.004346000001532957,9.399998816661537e-06,0.0032432000007247552,23695,2
controlled-v1/normal_mixing/01,BOUNDED_REACHABILITY,7.239999831654131e-05,6.86999992467463e-05,9.519999730400741e-05,9.399998816661537e-06,8.179999713320285e-05,6369,0
controlled-v1/normal_mixing/01,POISON,7.270000060088933e-05,7.170000753831118e-05,7.970001024659723e-05,9.399998816661537e-06,8.209999941755086e-05,6537,0
controlled-v1/normal_mixing/01,HAIRCUT,0.00012329999299254268,0.00012170000991318375,0.0001258000120287761,9.399998816661537e-06,0.00013269999180920422,11375,0
controlled-v1/normal_mixing/01,NO_CROSS_TARGET_COUPLING,0.0032094999914988875,0.002961999998660758,0.0038486999983433634,9.399998816661537e-06,0.003218899990315549,28565,2
controlled-v1/normal_mixing/01,NO_PROTOCOL_CONTINUATION,0.0031104999943636358,0.002854200007277541,0.004151399989495985,9.399998816661537e-06,0.0031198999931802973,24262,2
controlled-v1/normal_mixing/02,FULL_INTERVAL,0.00329510000301525,0.002919100006693043,0.0036764999967999756,3.0399998649954796e-05,0.0033255000016652048,23856,2
controlled-v1/normal_mixing/02,BOUNDED_REACHABILITY,7.809999806340784e-05,7.6299998909235e-05,8.490000618621707e-05,3.0399998649954796e-05,0.00010849999671336263,6370,0
controlled-v1/normal_mixing/02,POISON,8.009999874047935e-05,7.879998884163797e-05,8.359999628737569e-05,3.0399998649954796e-05,0.00011049999739043415,6541,0
controlled-v1/normal_mixing/02,HAIRCUT,0.0001154000055976212,0.00011069999891333282,0.0001252999936696142,3.0399998649954796e-05,0.000145800004247576,11415,0
controlled-v1/normal_mixing/02,NO_CROSS_TARGET_COUPLING,0.003347499994561076,0.0032402999931946397,0.004026499998872168,3.0399998649954796e-05,0.003377899993211031,28445,2
controlled-v1/normal_mixing/02,NO_PROTOCOL_CONTINUATION,0.0034411999949952587,0.00295429999823682,0.0038854000013088807,3.0399998649954796e-05,0.0034715999936452135,24044,2
controlled-v1/normal_mixing/02,BALANCE_INFORMATION_REMOVED,0.003592999986722134,0.0029783000063616782,0.004337999998824671,3.0399998649954796e-05,0.003623399985372089,24035,2
controlled-v1/normal_mixing/03,BALANCE_INFORMATION_REMOVED,0.003646500001195818,0.003194599994458258,0.003928899997845292,9.499999578110874e-06,0.003656000000773929,24002,2
controlled-v1/normal_mixing/03,FULL_INTERVAL,0.003162299995892681,0.003012699991813861,0.004493999993428588,9.499999578110874e-06,0.003171799995470792,23815,2
controlled-v1/normal_mixing/03,BOUNDED_REACHABILITY,7.389999518636614e-05,7.03999976394698e-05,8.359999628737569e-05,9.499999578110874e-06,8.339999476447701e-05,6369,0
controlled-v1/normal_mixing/03,POISON,7.819999882485718e-05,7.280000136233866e-05,0.00016760001017246395,9.499999578110874e-06,8.769999840296805e-05,6537,0
controlled-v1/normal_mixing/03,HAIRCUT,0.00012620000052265823,0.00012209999840706587,0.00019700000120792538,9.499999578110874e-06,0.0001357000001007691,11393,0
controlled-v1/normal_mixing/03,NO_CROSS_TARGET_COUPLING,0.0033776999916881323,0.0030740999936824664,0.0036047999892616645,9.499999578110874e-06,0.003387199991266243,28578,2
controlled-v1/normal_mixing/03,NO_PROTOCOL_CONTINUATION,0.003774700002395548,0.002921399995102547,0.00715910000144504,9.499999578110874e-06,0.003784200001973659,24147,2
controlled-v1/normal_mixing/04,POISON,8.270000398624688e-05,7.619999814778566e-05,9.509999654255807e-05,9.499999578110874e-06,9.220000356435776e-05,6541,0
controlled-v1/normal_mixing/04,HAIRCUT,0.00011409999569877982,0.00011250001261942089,0.0001227000029757619,9.499999578110874e-06,0.0001235999952768907,9869,0
controlled-v1/normal_mixing/04,NO_CROSS_TARGET_COUPLING,0.0036226999945938587,0.0030735000036656857,0.004666900000302121,9.499999578110874e-06,0.0036321999941719696,28680,2
controlled-v1/normal_mixing/04,NO_PROTOCOL_CONTINUATION,0.0040418999997200444,0.0032116000074893236,0.004458499999600463,9.499999578110874e-06,0.004051399999298155,24044,2
controlled-v1/normal_mixing/04,BALANCE_INFORMATION_REMOVED,0.0036869999894406646,0.003042800002731383,0.004454599999007769,9.499999578110874e-06,0.0036964999890187755,23783,2
controlled-v1/normal_mixing/04,FULL_INTERVAL,0.0032759000023361295,0.0030919999990146607,0.004109700006665662,9.499999578110874e-06,0.0032854000019142404,23752,2
controlled-v1/normal_mixing/04,BOUNDED_REACHABILITY,7.520000508520752e-05,7.049999840091914e-05,8.620000153314322e-05,9.499999578110874e-06,8.47000046633184e-05,6370,0
